REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2022-01,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19607.5,,,,1
2022-02,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19626.4,,,,1
2022-03,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19640.0,,,,1
2022-04,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19616.9,,,,1
2022-05,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19618.1,,,,1
2022-06,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19649.9,,,,1
2022-07,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19730.7,,,,1
2022-08,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19774.3,,,,1
2022-09,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19780.4,,,,1
2022-10,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19800.9,,,,1
2022-11,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19808.1,,,,1
2022-12,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19901.4,,,,1
2023-01,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19962.7,,,,1
2023-02,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19959.5,,,,1
2023-03,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19964.9,,,,1
2023-04,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19954.4,,,,1
2023-05,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19941.4,,,,1
2023-06,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,19979.8,r,,,1
2023-07,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,20052.0,,,,1
2023-08,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,20105.8,,,,1
2023-09,Canada,2021S0503,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,20129.5,,,,1
2022-01,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7681.1,,,,1
2022-02,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7678.2,,,,1
2022-03,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7689.0,,,,1
2022-04,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7675.9,,,,1
2022-05,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7667.0,,,,1
2022-06,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7684.8,,,,1
2022-07,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7708.5,,,,1
2022-08,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7728.6,,,,1
2022-09,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7734.5,,,,1
2022-10,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7742.7,,,,1
2022-11,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7741.0,,,,1
2022-12,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7781.6,,,,1
2023-01,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7794.0,,,,1
2023-02,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7798.2,,,,1
2023-03,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7796.7,,,,1
2023-04,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7793.8,,,,1
2023-05,Ontario,2021S0504,All industries,Employment,Persons,1,thousands,3,v1000000,1.1.1,7785.6,,,,1
