month_start,province_name,employment,uom,scalar_factor
2022-01-01,Ontario,7681.1,Persons,thousands
2022-02-01,Ontario,7678.2,Persons,thousands
2022-03-01,Ontario,7689.0,Persons,thousands
2022-04-01,Ontario,7675.9,Persons,thousands
2022-05-01,Ontario,7667.0,Persons,thousands
2022-06-01,Ontario,7684.8,Persons,thousands
2022-07-01,Ontario,7708.5,Persons,thousands
2022-08-01,Ontario,7728.6,Persons,thousands
2022-09-01,Ontario,7734.5,Persons,thousands
2022-10-01,Ontario,7742.7,Persons,thousands
2022-11-01,Ontario,7741.0,Persons,thousands
2022-12-01,Ontario,7781.6,Persons,thousands
2023-01-01,Ontario,7794.0,Persons,thousands
2023-02-01,Ontario,7798.2,Persons,thousands
2023-03-01,Ontario,7796.7,Persons,thousands
2023-04-01,Ontario,7793.8,Persons,thousands
2023-05-01,Ontario,7785.6,Persons,thousands
2023-06-01,Ontario,7802.1,Persons,thousands
2023-07-01,Ontario,7830.1,Persons,thousands
2023-08-01,Ontario,7854.4,Persons,thousands
2023-09-01,Ontario,7856.2,Persons,thousands
