month_start,province_name,employment,uom,scalar_factor
2022-01-01,Alberta,2424.9,Persons,thousands
2022-02-01,Alberta,2419.9,Persons,thousands
2022-03-01,Alberta,2422.6,Persons,thousands
2022-04-01,Alberta,2414.4,Persons,thousands
2022-05-01,Alberta,2406.2,Persons,thousands
2022-06-01,Alberta,2413.7,Persons,thousands
2022-07-01,Alberta,2438.8,Persons,thousands
2022-08-01,Alberta,2445.5,Persons,thousands
2022-09-01,Alberta,2451.4,Persons,thousands
2022-10-01,Alberta,2458.7,Persons,thousands
2022-11-01,Alberta,2461.3,Persons,thousands
2022-12-01,Alberta,2471.0,Persons,thousands
2023-01-01,Alberta,2486.2,Persons,thousands
2023-02-01,Alberta,2489.1,Persons,thousands
2023-03-01,Alberta,2495.9,Persons,thousands
2023-04-01,Alberta,2477.9,Persons,thousands
2023-05-01,Alberta,2478.3,Persons,thousands
2023-06-01,Alberta,2486.1,Persons,thousands
2023-07-01,Alberta,2505.1,Persons,thousands
2023-08-01,Alberta,2522.3,Persons,thousands
2023-09-01,Alberta,2521.0,Persons,thousands
2022-01-01,British Columbia,2772.6,Persons,thousands
2022-02-01,British Columbia,2772.2,Persons,thousands
2022-03-01,British Columbia,2769.8,Persons,thousands
