month_start,province_name,employment,yoy_change,yoy_change_pct
2022-01-01,Alberta,2424.9,,
2022-02-01,Alberta,2419.9,,
2022-03-01,Alberta,2422.6,,
2022-04-01,Alberta,2414.4,,
2022-05-01,Alberta,2406.2,,
2022-06-01,Alberta,2413.7,,
2022-07-01,Alberta,2438.8,,
2022-08-01,Alberta,2445.5,,
2022-09-01,Alberta,2451.4,,
2022-10-01,Alberta,2458.7,,
2022-11-01,Alberta,2461.3,,
2022-12-01,Alberta,2471.0,,
2023-01-01,Alberta,2486.2,61.3,2.53
2023-02-01,Alberta,2489.1,69.2,2.86
2023-03-01,Alberta,2495.9,73.3,3.03
2023-04-01,Alberta,2477.9,63.5,2.63
2023-05-01,Alberta,2478.3,72.1,3.00
2023-06-01,Alberta,2486.1,72.4,3.00
2023-07-01,Alberta,2505.1,66.3,2.72
2023-08-01,Alberta,2522.3,76.8,3.14
2023-09-01,Alberta,2521.0,69.6,2.84
2022-01-01,British Columbia,2772.6,,
2022-02-01,British Columbia,2772.2,,
2022-03-01,British Columbia,2769.8,,
2022-04-01,British Columbia,2756.3,,
2022-05-01,British Columbia,2754.8,,
2022-06-01,British Columbia,2766.6,,
2022-07-01,British Columbia,2784.6,,
2022-08-01,British Columbia,2787.7,,
2022-09-01,British Columbia,2791.2,,
2022-10-01,British Columbia,2799.0,,
2022-12-01,British Columbia,2810.2,,
2023-01-01,British Columbia,2829.6,57.0,2.06
2023-02-01,British Columbia,2826.8,54.6,1.97
2023-03-01,British Columbia,2829.0,59.2,2.14
2023-04-01,British Columbia,2822.6,66.3,2.41
2023-05-01,British Columbia,2817.3,62.5,2.27
2023-06-01,British Columbia,2823.4,56.8,2.05
2023-07-01,British Columbia,2839.7,55.1,1.98
2023-08-01,British Columbia,2853.7,66.0,2.37
2023-09-01,British Columbia,2855.8,64.6,2.31
2022-01-01,Ontario,7681.1,,
2022-02-01,Ontario,7678.2,,
2022-03-01,Ontario,7689.0,,
2022-04-01,Ontario,7675.9,,
2022-05-01,Ontario,7667.0,,
2022-06-01,Ontario,7684.8,,
2022-07-01,Ontario,7708.5,,
2022-08-01,Ontario,7728.6,,
2022-09-01,Ontario,7734.5,,
2022-10-01,Ontario,7742.7,,
2022-11-01,Ontario,7741.0,,
2022-12-01,Ontario,7781.6,,
2023-01-01,Ontario,7794.0,112.9,1.47
2023-02-01,Ontario,7798.2,120.0,1.56
2023-03-01,Ontario,7796.7,107.7,1.40
2023-04-01,Ontario,7793.8,117.9,1.54
2023-05-01,Ontario,7785.6,118.6,1.55
2023-06-01,Ontario,7802.1,117.3,1.53
2023-07-01,Ontario,7830.1,121.6,1.58
2023-08-01,Ontario,7854.4,125.8,1.63
2023-09-01,Ontario,7856.2,121.7,1.57
2022-01-01,Quebec,4267.4,,
2022-02-01,Quebec,4274.6,,
2022-03-01,Quebec,4269.0,,
2022-04-01,Quebec,4266.4,,
2022-05-01,Quebec,4263.1,,
2022-06-01,Quebec,4271.0,,
2022-07-01,Quebec,4295.2,,
2022-08-01,Quebec,4308.8,,
2022-09-01,Quebec,4305.9,,
2022-10-01,Quebec,4313.4,,
2022-11-01,Quebec,4317.8,,
2022-12-01,Quebec,4338.0,,
2023-01-01,Quebec,4360.2,92.8,2.17
2023-02-01,Quebec,4360.0,85.4,2.00
2023-03-01,Quebec,4355.5,86.5,2.03
2023-04-01,Quebec,4344.5,78.1,1.83
2023-05-01,Quebec,4341.3,78.2,1.83
2023-06-01,Quebec,4360.1,89.1,2.09
2023-07-01,Quebec,4380.1,84.9,1.98
2023-08-01,Quebec,4393.3,84.5,1.96
2023-09-01,Quebec,4394.7,88.8,2.06
