month_start,province_name,employment,yoy_change,yoy_change_pct
2022-01-01,Ontario,7681.1,,
2022-02-01,Ontario,7678.2,,
2022-03-01,Ontario,7689.0,,
2022-04-01,Ontario,7675.9,,
2022-05-01,Ontario,7667.0,,
2022-06-01,Ontario,7684.8,,
2022-07-01,Ontario,7708.5,,
2022-08-01,Ontario,7728.6,,
2022-09-01,Ontario,7734.5,,
2022-10-01,Ontario,7742.7,,
2022-11-01,Ontario,7741.0,,
2022-12-01,Ontario,7781.6,,
2023-01-01,Ontario,7794.0,112.9,1.47
2023-02-01,Ontario,7798.2,120.0,1.56
2023-03-01,Ontario,7796.7,107.7,1.40
2023-04-01,Ontario,7793.8,117.9,1.54
2023-05-01,Ontario,7785.6,118.6,1.55
2023-06-01,Ontario,7802.1,117.3,1.53
2023-07-01,Ontario,7830.1,121.6,1.58
2023-08-01,Ontario,7854.4,125.8,1.63
2023-09-01,Ontario,7856.2,121.7,1.57
